sock1_inode_id,sock2_inode_id
61094,61464
61464,61094
69608,69679
69679,69608
74236,74237
74237,74236
7717,8645
8645,7717
69626,69622
69622,69626
69707,69706
69706,69707
7087,6125
6125,7087
69678,69604
69604,69678
19544,19543
19543,19544
19563,19562
19562,19563
18399,18392
18392,18399
75190,74345
74345,75190
