ts_s,pid,tid,futex_key_addr,futex_key_word,futex_key_offset,total_requests,total_time,hist0,hist1,hist2,hist3,hist4,hist5,hist6,hist7
2025-08-27 14:06:20.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:20.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:21.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:21.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:22.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:22.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:23.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:23.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:24.667145,13019,13493,18446619757348945920,22155264,224,1,989919508,0,0,0,0,0,0,0,1
2025-08-27 14:06:24.667145,13019,13672,18446619757348945920,824634138624,2888,1,999964001,0,0,0,0,0,0,0,1
2025-08-27 14:06:25.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:25.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:26.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:26.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:27.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:27.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:28.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:28.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:29.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:29.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:30.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:30.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:31.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:31.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:32.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:32.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:33.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:33.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:34.667145,13019,13672,18446619757348945920,824634138624,2888,1,999966343,0,0,0,0,0,0,0,1
2025-08-27 14:06:34.667145,13019,13493,18446619757348945920,22155264,224,1,989899388,0,0,0,0,0,0,0,1
2025-08-27 14:06:35.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:35.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:36.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:36.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:37.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:37.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:38.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:38.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:39.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:39.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:40.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:40.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:41.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:41.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:42.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:42.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:43.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:43.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:44.667145,13019,13672,18446619757348945920,824634138624,2888,1,999951660,0,0,0,0,0,0,0,1
2025-08-27 14:06:44.667145,13019,13493,18446619757348945920,22155264,224,1,989891517,0,0,0,0,0,0,0,1
2025-08-27 14:06:45.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:45.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:46.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:46.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:47.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:47.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:48.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:48.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:49.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:49.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:50.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:50.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:51.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:51.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:52.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:52.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
